genus,alley_tree,sponsorship,height,trunk_circumference,crown_diameter
Maple,0,0,6.0,0.377,4.0
Lime,1,0,8.0,0.51,5.0
Oak,0,0,6.0,0.43,2.0
Poplar,0,0,17.0,2.9845,2.9
Willow,0,0,7.0,0.8168000000000001,2.0
Birch,0,0,15.0,0.9425,5.0
Lime,0,0,6.0,0.2512999999999999,2.0
Maple,0,0,6.0,0.5655,2.0
Willow,0,0,7.0,0.5969,2.0
Cherry,1,0,5.0,0.26,2.3
Oak,0,0,6.0,0.2512999999999999,2.0
Cherry,1,0,7.0,0.4711999999999999,4.0
Oak,0,0,6.0,0.2512999999999999,2.0
Oak,0,0,6.0,0.3142,2.0
Oak,0,0,6.0,0.2512999999999999,2.0
Oak,0,0,6.0,0.2198999999999999,2.0
Oak,0,0,6.0,0.2198999999999999,2.0
Oak,0,0,6.0,0.2198999999999999,2.0
Oak,0,0,6.5,0.2355999999999999,2.0
Cherry,0,0,5.5,0.2827,1.0
alnus,0,0,6.0,0.377,1.0
alnus,0,0,6.0,0.2512999999999999,1.0
Maple,0,0,10.0,0.5655,4.5
alnus,0,0,7.5,0.3456,1.0
malus,0,0,4.5,0.2042,2.5
Oak,0,0,6.0,0.2042,2.8
alnus,0,0,8.5,0.3456,1.0
alnus,0,0,6.0,0.2827,1.0
alnus,0,0,5.5,0.1885,1.7
alnus,0,0,7.0,0.3142,1.0
alnus,0,0,5.0,0.2198999999999999,1.0
alnus,0,0,4.0,0.2198999999999999,1.8
Oak,0,0,5.5,0.1885,1.5
Oak,0,0,6.0,0.1885,2.0
malus,0,0,5.0,0.2198999999999999,3.0
ostrya,0,0,5.0,0.18,1.0
alnus,0,0,4.0,0.1885,1.0
Oak,0,0,6.0,0.1885,2.0
alnus,0,0,5.0,0.1885,1.7
alnus,0,0,6.0,0.2198999999999999,1.0
alnus,0,0,7.0,0.3456,1.0
alnus,0,0,8.0,0.3456,1.0
alnus,0,0,6.5,0.3142,1.0
Maple,0,0,6.0,0.0471,1.0
Maple,0,0,7.0,0.2198999999999999,1.0
alnus,0,0,7.0,0.2827,1.0
alnus,0,0,7.0,0.1414,0.7
Oak,0,0,5.0,0.1885,2.5
alnus,0,0,7.0,0.1257,0.7
alnus,0,0,7.0,0.1257,0.8
Cherry,0,0,6.0,0.2198999999999999,1.0
Cherry,0,0,5.0,0.2198999999999999,1.2
alnus,0,0,7.0,0.1257,0.5
Oak,0,0,6.0,0.2198999999999999,2.0
alnus,0,0,5.0,0.1571,1.8
alnus,0,0,7.0,0.2827,1.0
Oak,0,0,6.0,0.1885,2.0
alnus,0,0,4.0,0.2198999999999999,1.0
alnus,0,0,7.0,0.2827,1.0
malus,0,0,4.5,0.1728,2.5
malus,0,0,5.0,0.2198999999999999,3.0
malus,0,0,4.5,0.2042,3.0
Birch,0,0,8.0,0.377,3.5
Cherry,0,0,6.0,0.267,1.0
malus,0,0,5.0,0.1571,1.0
Cherry,0,0,5.0,0.2042,1.0
malus,0,0,5.0,0.1728,1.5
Cherry,0,0,7.0,0.2355999999999999,1.0
Willow,0,0,25.0,2.6704000000000003,3.1500000000000004
malus,0,0,5.0,0.2198999999999999,1.5
Maple,0,0,6.0,0.2827,1.0
Maple,0,0,6.0,0.267,1.0
Birch,0,0,6.0,0.2512999999999999,1.5
Birch,0,0,7.0,0.267,2.0
Oak,0,0,6.5,0.2512999999999999,2.0
Birch,0,0,7.0,0.2198999999999999,1.0
Oak,0,0,7.0,0.2355999999999999,2.0
